id,course_name
1,Write A Feature Length Screenplay For Film Or Television
2,Business Strategy: Business Model Canvas Analysis with Miro
3,Silicon Thin Film Solar Cells
4,Finance for Managers
5,Retrieve Data using Single-Table SQL Queries
6,Building Test Automation Framework using Selenium and TestNG
7,Doing Business in China Capstone
8,"Programming Languages, Part A"
9,The Roles and Responsibilities of Nonprofit Boards of Directors within the Governance Process
10,Business Russian Communication. Part 3
11,Agile Projects:  Developing Tasks with Taiga
12,Esports Management Capstone Project
13,Hacking and Patching
14,Business Statistics and Analysis Capstone
15,Grab Data Fast with Vertical and Horizontal LOOKUP
16,Global Health: An Interdisciplinary Overview
17,Python Programming Essentials
18,Creating Dashboards and Storytelling with Tableau
19,Parallel programming
20,Recommendation Systems with TensorFlow on GCP
22,COVID-19 - A clinical update
23,How to Create Text Effects in GIMP
24,Preparing for the Google Cloud Professional Data Engineer Exam
25,Multiple Regression Analysis in Public Health
26,General Pathophysiology
27,Population Health: Alternative Payment Models
28,AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API
29,"Philosophy, Science and Religion: Philosophy and Religion"
30,Poverty & Population: How Demographics Shape Policy
31,Electrodynamics: Analysis of Electric Fields
32,The Music of American English Pronunciation
33,Fundamentals of Management
34,Advanced Speaking and Listening Project
35,Hybrid Cloud Service Mesh with Anthos
36,Dealing With Missing Data
37,COBOL Programming with VSCode
39,Postman - Intro to APIs (without coding)
40,Protecting Business Innovations via Patent
41,"Real-time OCR and Text Detection with Tensorflow, OpenCV and Tesseract"
42,Global Strategy I: How The Global Economy Works
43,Disability Inclusion in Education: Building Systems of Support
44,Introduction to Cybersecurity Tools & Cyber Attacks
45,Introduction to Cybersecurity Tools & Cyber Attacks
46,"Fundamentals of Funding, with Goldman Sachs 10,000 Women"
47,Foundations of Objective-C App Development
48,Programming Mobile Applications for Android Handheld Systems: Part 2
49,Analyzing Market Attractiveness Using Creately
50,Personal Leadership Development Planning and Leading High Performing Teams
51,Integrating Scripts for Scene Interactions
52,Voices of Social Change
53,"Managing Asthma, Allergies, Diabetes, and Seizures in School"
54,Global Challenges in Business Capstone
